group,estimate,lower,upper,title,year,abstract
Nguyen (2020),0.18,0.06,0.3,An investigation into the efficacy of online discussion forums,2020,"Online discussion forums have become a popular tool for facilitating student engagement and collaboration in online learning environments, but their efficacy remains an open question. This study aimed to investigate the efficacy of online discussion forums for promoting student engagement and collaboration. Results suggest that online discussion forums can be an effective tool for promoting student engagement and collaboration in online learning environments."
Nguyen et al. (2021),0.63,0.41,0.85,The impact of a growth mindset intervention on student achievement in social studies,2021,"The impact of a growth mindset intervention on student achievement in social studies: In this study, Nguyen et al. investigate the impact of a growth mindset intervention on student achievement in social studies. The researchers randomly assigned middle school students to either a treatment group that received the intervention or a control group that did not. The growth mindset intervention consisted of lessons and activities aimed at promoting the idea that intelligence can be developed through hard work and perseverance. Results showed that students in the treatment group had significantly higher scores on a social studies achievement test than students in the control group. These findings suggest that growth mindset interventions can be an effective way to improve student achievement."
Peterson (2021),0.29,0.11,0.47,Exploring the effects of teacher diversity on academic achievement,2021,"Teacher diversity has gained attention as a potential factor in promoting equity and improving academic achievement, but its effects have been less well-studied. This study aimed to investigate the effects of teacher diversity on academic achievement. Results suggest that teacher diversity can have a positive impact on academic achievement, particularly for students from underrepresented backgrounds."
Robinson (2018),0.38,0.18,0.48,Investigating the effects of student-teacher communication on academic achievement,2018,"This study explored the effectiveness of project-based learning (PBL) in science education. Results indicate that students who participated in PBL showed significant improvement in their scientific knowledge and skills, as well as greater engagement in the subject matter. The study highlights the potential of PBL as a pedagogical approach to enhance student learning outcomes in science education."
Robinson et al. (2021),0.73,0.58,0.85,The effects of peer tutoring on student self-efficacy in art,2021,We investigated the effects of peer tutoring on student self-efficacy in art. The study involved a group of students who were paired up and asked to work together on various art projects. The results showed that students who participated in the peer tutoring program had significantly higher levels of self-efficacy than those who did not. The authors suggest that peer tutoring could be an effective way to improve students' confidence in their artistic abilities.
Rodriguez et al. (2021),0.55,0.33,0.77,The effects of teacher feedback on student learning outcomes,2021,"In this study, Rodriguez et al. investigate the impact of teacher feedback on student learning outcomes. The study involved a group of students who received detailed feedback from their teachers and a control group who did not. Results showed that the group receiving feedback had significantly greater improvements in their learning outcomes compared to the control group. These findings suggest that providing students with detailed feedback may be an effective strategy for improving learning outcomes."
Sanders et al. (2019),0.34,0.14,0.54,A study on the effectiveness of project-based learning in science,2019,This study investigated the impact of teacher diversity on student academic achievement. The results revealed that students who had a diverse range of teachers achieved significantly better academic outcomes than those who did not. The study suggests that efforts to increase teacher diversity should be a priority in promoting equitable access to education.
Smith (2019),-0.47,-0.63,-0.31,An investigation into the efficacy of project-based learning,2019,"This study explored the effectiveness of project-based learning in improving student learning outcomes. Results showed that students who engaged in project-based learning demonstrated significantly higher levels of understanding and retention compared to those who did not, suggesting that this approach can be a highly effective instructional method."
Smith et al. (2018),0.57,0.33,0.79,The impact of homework on student achievement in math,2018,Smith et al. conducted a study to investigate the impact of homework on student achievement in math. The study involved a group of students who received homework assignments and a control group who did not. Results showed that the group receiving homework had significantly greater improvements in their math scores compared to the control group. These findings suggest that homework may be an effective strategy for improving student achievement in math.
Taylor (2016),-0.14,-0.26,-0.02,The impact of teacher-student relationships on academic success,2016,This study investigated the impact of teacher-student relationships on academic success in middle school students. Results showed that positive teacher-student relationships were associated with higher academic achievement and improved behavior in the classroom. The findings suggest that building positive relationships between teachers and students is an important factor in promoting academic success.
Thompson et al. (2020),-0.35,-0.48,-0.22,Investigating the effects of game-based learning on student engagement,2020,"This study aimed to investigate the effects of game-based learning on student engagement in the classroom. Results showed a significant increase in student engagement and motivation when game-based learning was used as a teaching strategy, particularly for students who typically struggled to stay engaged during traditional lectures. The findings suggest that game-based learning can be an effective way to promote student engagement and should be considered as a pedagogical approach."
Turner et al. (2016),0.48,0.26,0.66,Investigating the effects of student motivation on academic performance,2016,This study examined the impact of extracurricular activities on student academic achievement. The results suggest that students who participated in extracurricular activities achieved higher levels of academic success than those who did not. The study highlights the potential of extracurricular activities as a means of promoting student engagement and enhancing academic outcomes.
Turner et al. (2019),0.69,0.46,0.89,The effects of mindfulness on student well-being in physical education,2019,"We investigate the effects of mindfulness on student well-being in physical education. The researchers randomly assigned middle school students to either a treatment group that participated in mindfulness exercises during physical education classes or a control group that did not. Results showed that students in the treatment group reported higher levels of well-being than students in the control group. Additionally, the researchers found that students who participated in mindfulness exercises were more likely to enjoy physical education and engage in physical activity outside of school. These findings suggest that mindfulness exercises can be an effective way to improve student well-being and promote physical activity."
White (2015),-0.29,-0.43,-0.15,The impact of teacher training on student achievement,2015,This study examined the impact of teacher training on student achievement in the classroom. Results showed that teachers who had received specialized training were more effective in improving student achievement compared to those who had not received any training. The study highlights the importance of investing in teacher professional development to enhance their effectiveness in the classroom and ultimately improve student achievement.
